question,response
আয়কর কি?,আয়কর হলো এই আইনের অধীন আরোপযোগ্য যেকোনো উৎস থেকে উদ্ভূত আয় বা পরিমাণ থেকে কর সংগ্রহ করা হয়।
"ভ্যালু অ্যাডেড ট্যাক্স এবং সম্পূরক শুল্ক বিধিমালা, ২০১৬-এর সংক্ষিপ্ত নাম কী?","ভ্যালু অ্যাডেড ট্যাক্স এবং সম্পূরক শুল্ক বিধিমালা, ২০১৬, এর সংক্ষিপ্ত নাম হল 'মূল্য সংযোজন কর ও সম্পূরক শুল্ক বিধিমালা'"
"""করারোপিত লভ্যাংশ"" কি?",করারোপিত লভ্যাংশ হলো কর আরোপযোগ্য হওয়ার সময় লভ্যাংশের উপর কর পরিশোধ করা হয়।
বাংলাদেশে আয়কর রিটার্ন কী?,বাংলাদেশে আয়কর রিটার্ন হলো করদাতার কর পরিশোধের সময় দাখিল করা অবশ্যবাদী তথা কর পরিশোধ করা হওয়া অবশ্যবাদী পরিমাণ।
“আয়কর কর্মকর্তা” বলতে কী বোঝায়?,আয়কর কর্মকর্তা হলেন কর আপিল ট্রাইব্যুনালের কর্মকর্তা যারা কর আপিলের সমাধানে জড়িত থাকেন।
"""পরিবার সম্পর্কিত ব্যক্তি"" বলতে কোন শতাংশ শেয়ারের মালিকানা বোঝানো হয়?",পরিবার সম্পর্কিত ব্যক্তি বলতে প্রথম প্রজন্ম সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা পরিবারের সদস্য বা...
মিউচুয়াল ফান্ড কী?,মিউচুয়াল ফান্ড হলো এক ধরনের বিনিয়োগ ফান্ড যার লক্ষ্য হলো স্বল্পমেয়াদী বিনিয়োগের জন্য অর্থ সংগ্রহ করা এবং সেই অর্থগুলো বিভিন্ন বিনিয়োগে বিনিয়োগ করা।
“আয়বর্ষ” এর সংজ্ঞা কী?,"আয়বর্ষ হলো একটি বছর যার মধ্যে কোনো ব্যবসায়িক কার্যক্রম বা আর্থিক কার্যক্রম সম্পাদন করা হয়।, আয়বর্ষের মধ্যে কোনো ব্যবসায়িক কার্যক্রম বা আর্থিক কার্যক্রম সম্পাদন করা হলে সেই বছরকে আয়বর্ষ হিসেবে গণনা করা হয়।, আয়বর্ষের মধ্যে কোনো ব্যবসায়িক কার্যক্রম বা আর্থিক কার্যক্রম সম্পাদন করা হলে সেই বছরের আর্থিক ফলাফল গণনা করা হয়।"
বাংলাদেশ ব্যাংকের প্রধান কাজ কী?,বাংলাদেশ ব্যাংকের প্রধান কাজ হলো দেশের অর্থনীতিতে স্থিতিশীলতা ও উন্নয়ন বজায় রাখা। বাংলাদেশ ব্যাংকের প্রধান কাজ হলো দেশের অর্থনীতিতে স্থিতিশীলতা ও উন্নয়ন বজায় রাখা। বাংলাদেশ ব্যাংক হলো দেশের একমাত্র স্বাভাবিক ব্যাংক। এটি দেশের অর্থনীতিতে স্থিতিশীলতা ও উন্নয়ন বজায় রাখার জন্য গুরুত্বপূর্ণ ভূমিকা পালন করে।
“আয়কর অ্যাপিলেট কমিশনার” বলতে কী বোঝায়?,আয়কর অ্যাপিলেট কমিশনার হল আয়কর কমিশনারের একটি অধিকারিক পদ যা আয়কর অ্যাপিলেট কমিশনার হিসাবে দায়িত্ব পালন করে।
