question,response
"What is the short title of the rules made under section 185 of the Income Tax Ordinance, 1984?","The short title of the rules made under section 185 of the Income Tax Ordinance, 1984 is:, Income Tax Rules, 1984"
What is oreign Exchange Risk Mitigation?,Foreign Exchange Risk Mitigation is a strategy used by companies to minimize the risk of exchange rate fluctuations affecting their financial transactions.Some methods are like Invoicing in domestic currency: An exporter can invoice his foreign customer in his domestic currency or an importer can arrange with his foreign supplier to be invoiced in his domestic currency.
What are the types of investment qualified for the tax rebate?,"The types of investment qualified for the tax rebate are: Life insurance whose premium up to 10% of the face value and Contribution to Provident Fund, as per the Provident Fund Act, 1925, Self contribution and employer's contribution to a General Provident Fund (GPF), Employee's contribution to a benevolent fund or group insurance scheme"
What are the standard rate of the VAT ?,"The standard VAT rates are 1% on turnover up to Taka 5,00,00,000, 0.5% on turnover Taka 2,50,00,000, 30% on interest income, 20% on dividend income, 15% on capital gain, 27.5% on avail (not fulfilled), 0.60% on alternative minimum tax on gross receipts"
What is VAT Assessment?,"VAT Assessment is the process of determining the value of goods and services for Value Added Tax (VAT) purposes. Few VAT Assessment are aaluation : Determining the value of goods and services for VAT purposes. Preparation of value Declaration : Preparing the value declaration form for major industries, manufacturers, commercial traders, and service renderers. Use of Fair Market Price: Using the fair market price for value determination."
Who are the Income Tax Authorities?,"The Income Tax Authorities in Bangladesh are: The National Board of Revenue, Chief Commissioner of Taxes, Directors, General of Inspection (Taxes), Commissioner of Taxes (Appeals), Commissioner of Taxes (Large Taxpayer Unit), Director General (Training), Director General, Central Intelligence Cell, Commissioners of Taxes, Additional Commissioners of Taxes (Appeal/Inspecting), Joint Commissioners of Taxes (Appeal/Inspecting), Deputy Commissioners of Taxes, Tax Recovery Officers"
What does financial strategy concern in the strategic planning process?,"Financial strategy in the strategic planning process concerns the financial implications of the business strategy. The financial implications of the business strategy, How the business will achieve its objectives, The long, term direction of the business, The financial aspects of setting objectives and dealing with stakeholders In other words, financial strategy is concerned with the financial aspects of the business strategy, which is part of the overall strategic planning process."
What is income tax return ?,"Income tax return is a mandatory submission of financial information to the income tax authority. The return must include:  Declaration and authentication, Production of accounts and documents, Statement of assets and liabilities, Income statement, Statement of individual regarding particulars of lifestyle. And also information about income from different heads and net tax liability The return is essential for assessing tax liability and disclosing relevant information to the income tax authority."
"Under rule 8(4), what auxiliary register must be maintained if a separate nursing or maternity home is maintained by a medical practitioner?","Under Rule 8(4), a medical practitioner who maintains a separate nursing or maternity home must maintain an auxiliary register showing the following particulars: Name and address of the patient, Nature of the treatment, Room (diet and/or lodging) charges. Other fees charged from the patient, if any This auxiliary register must be maintained in the remarks column of the Case Register in Form A(2)."
What is the minimum salary required for a personal loan in Bangladesh?,"The tax rates range from 7.5% to 25% for different income brackets. There is an initial exemption limit for certain individuals, such as women, senior citizens, and physically challenged persons."
"What does the manual state about the inter-relationships between financial decisions, using a retailing company as an example?","Relationships between financial decisions can be seen in the following example, a retailing company makes a strategic decision to widen its markets, which requires new assets (e.g. new stores). The new assets trigger a demand for capital, leading to a new, issue of debt. The ongoing implementation of the strategy causes a need for financing decisions, such as managing cash flow and risk."
Is online banking safe in Bangladesh?,Online banking in Bangladesh is not entirely safe due to the sone reasons: cheque related frauds are the most commonly experienced fraud incidences in Bangladesh and online banking may be vulnerable to similar types of fraud. Banks are identified as the most vulnerable sector of Money Laundering and Terrorist Financing (ML&TF) in Bangladesh which increases the risk of financial crimes.
What types of investment qualified for the tax rebate?,"The Types of investment qualified for the tax rebate are: Life insurance, premium up to 10% of the face value and Contribution to Provident Fund, as per the Provident Fund Act, 1925, Self, contribution and employer's contribution to a Registered Pension Fund (RPF)"
What is the threshold amount for maintaining a bank account under rule 8A?,"The threshold amount for maintaining a bank account under rule 8A is:, Taka 25,000/, (twenty five thousand) per month This is the amount above which a person having ownership or possession of a house property must maintain a bank account to deposit rent and any advance received."
Do car owners pay annual taxes in Bangladesh?,"Car owners in Bangladesh pay annual taxes. Motor vehicles tax is a type of non, NBR tax. It is one of the nomenclatures of non, NBR tax, which is not subject to withholding tax in Bangladesh. The entity does not have a payroll structure ratio, but this information is not relevant to the question of car owners paying annual taxes. "
What is an example of how financing decisions can impact a firm's existence?,"A firm that heavily borrows money may face financial difficulties if its cash flows fall to a level insufficient to make interest payments on debt. This can lead to bankruptcy. High debt levels can put a firm at risk of financial distress.  Insufficient cash flows can make it difficult for a firm to meet its debt obligations., This can ultimately impact a firm's existence."
Which Bangladeshi city hosts the Dhaka Stock Exchange (DSE)?,"The Dhaka Stock Exchange (DSE) is hosted in Dhaka, Bangladesh."
Are mutual funds available in the Dhaka Stock Exchange?,"Mutual funds are available in the Dhaka Stock Exchange. The Dhaka Stock Exchange (DSE) is a primary source of new funds, including through new, share issuances., There is no specific mention of mutual funds in the provided context, but it can be inferred that they are available as part of the DSE's offerings."
"What does the term ""Money Market Instrument"" include according to the definitions?","Money Market Instrument includes- commercial paper, asset, backed securities, money market instruments. Other similar instruments traded in the financial markets."
Who is the General Manager of the Editorial Committee for the fifth edition of the guidelines?,"The General Manager of the Editorial Committee for the fifth edition of the guidelines is: Md. Nur, un, Nabi"
How I can return my income tax?,"To return income tax one need tofollow these steps. For company taxpayers, file return by July 15th of the following year or by September 30th if the 15th of July falls before the end of the six month period. For other taxpayers, file your return by September 30th of the following year unless an extension is granted. If one make any TDS (Tax deduction at source) on payment. He need to submit file a separate return of withholding tax by October 15th, January 15th, April 15th, or July 15th."
What is the full form of NBR in Bangladesh financial system?,The full form of NBR in Bangladesh's financial system is National Board of Revenue
What are risk management decisions concerned with?,"Risk management decisions are concerned with how a business manages risk in relation to- investment decisions, financing decisions, liquidity, currency and credit decisions. These decisions aim to reduce or hedge against risks and uncertainties. Such as currency and interest rate changes to ensure the firm's financial stability."
"What is the corporate income tax rate for publicly traded companies in Bangladesh, excluding banks, insurance, and specific industries?","The corporate income tax rate for publicly traded companies in Bangladesh, excluding banks, insurance, and specific industries, is 25%."
"What is the tax rate for cigarette, zarda, bidi, gul, or any other tobacco product manufacturing companies?","The tax rate for cigarette, zarda, bidi, gul, or any other tobacco product manufacturing companies is 3% of their gross receipts."
What is the opportunity cost?,"The opportunity cost is the value of the next best alternative that is forgone when a decision is made. In this case, the opportunity cost is the value of the alternative use of Material X., The opportunity cost of Material X is the sales proceeds forgone if it is not used in the project., The opportunity cost is the value of the alternative use of Material X, which is:, Selling 500 kg of Material X for 3,000 CU, Purchasing 1,000 kg of Material X for 4,000 CU"
Do banks in Bangladesh offer retirement savings schemes?,"Banks in Bangladesh offer retirement savings schemes. The approved banks in Bangladesh for retirement savings schemes are many. Like South East Bank Limited, Dhaka Bank Limited, Al, Arafah Islami Bank Limited, Social Islami Bank Limited, Dutch, Bangla Bank Limited, Mercantile Bank Limited, Standard Bank Limited, One Bank Limited, Exim Bank Limited"
What is the duration of practical work experience required for the CA qualification?,"The duration of practical work experience required for the CA qualification is:, 3 years, 4 years (as an option)"
"What is the signing date of the France wiht Bangladesh agreement,","Signing date of the France, Bangladesh agreement is:09/03/1987, 21/89 (presumably a reference to the year 1989), 4/01/1989, 01/07/1989"
How has the method of submitting SBS returns changed over time?,The method of submitting SBS returns has undergone changes over time. The SBS returns were used for collection of information/data from the banking sector in Bangladesh. Then the Statistics Department of the Bangladesh Bank published guidelines for the scheduled banks to fill in the returns properly and submit them to the Bangladesh Bank. 
What changes were made to Rule 8A of the Income Tax Rules since its introduction?,"Based on the provided context, there is no information about changes made to Rule 8A of the Income Tax Rules since its introduction. The context only mentions the requirements and formalities for landlords receiving monthly rent more than Tk. 25,000, as per Rule 8A of Income Tax Rules 1984. However, the context does mention the following changes or additions to the rule:, The landlord must maintain a bank account and deposit the entire monthly rent directly into it."
Who is Deputy Commissioner of Taxes? ,"""Deputy Commissioner of Taxes"" means a person appointed to be a Deputy Commissioner of Taxes u/s 4, and includes a person appointed to be aTransfer Pricing Officer, Assistant Commissioner of Taxes, an Extra Assistant Commissioner ofTaxes and a Tax Recovery Officer"
How did Bangladeshs VAT system change after the 2012 VAT Act?,"After the 2012 VAT Act, Bangladesh's VAT system sees significant changes. Like migration from 1991 VAT Act which is based account current to new system. The new system was designed to be more efficient and effective in managing account current balances. The VAT system now uses a prepaid vs postpaid system."
When was the amendment for rule 10(3) prospectus submission made?,"As a Bangladeshi financial advisor, I have reviewed the ATP study on XYZ Ltd. submitted to the tax authority. My position is as follows:, Ethical Threats:, , The use of TNMM method with PLI as profit level indicator may not accurately reflect the arm's length price of controlled transactions., The amendment from the issuing bank confirms that the port of loading is Chattogram, Bangladesh, but the unit price provided is consistent with the current market price available online, which may raise concerns about the accuracy of the transaction., Possible Actions:, , Request additional information from the applicant to verify the accuracy of the transaction, including the market price of the goods and the terms of the import LC., Conduct a thorough review of the ATP study to ensure that it meets the requirements of Rule 70(1) of the IT Rules, 1984., Consider seeking guidance from the tax authority or a professional organization to ensure compliance with the relevant rules and regulations., Recommendation:, , Request a Level 2 review of the transaction to ensure that it meets the requirements of Rule 10(3) prospectus submission and to verify the accuracy of the transaction. Please note that these actions are based solely on the information provided in the context and may require further investigation to ensure compliance with the relevant rules and regulations."
"When The Income Tax Act, 2023 came into force ?","The Income Tax Act, 2023 came into force on 27th June 2023."
What changes occur in the knowledge of financial management principles as students progress from Certificate Level to Professional and Advanced Levels?,"As students progress from Certificate Level to Professional and Advanced Levels, the knowledge of financial management principles undergoes significant changes.  Development of knowledge base: The knowledge base developed at Certificate Level is further developed in the Financial Management module. Recommendation of financing options: Students learn to recommend options for financing a business."
How did foreign direct investment (FDI) inflows to Bangladesh change after 2010?,"Foreign Direct Investment (FDI) inflows to Bangladesh have changed over the years. Here are some key points:, After 2010, FDI inflows to Bangladesh decreased., This decrease is likely due to the depreciation of the Eastern European country's currency, causing a reduction in the value of cash flows remitted back to Bangladesh., The depreciation of the Eastern European currency over a five, year period led to a decrease in the value of the investment project."
"Without considering recovery, what is a ""certificate"" in the rules in Bangladeshi tax return?"," ""certificate"" refers to:, A tax clearance certificate. An exemption certificate These certificates are issued by the DCT (Directorate of Customs and Taxation) to individuals. "
"Isolated from corporate tax, what entity produced the document in conjunction?","Withholding Tax, Corporate Tax Implication, and DTAA Implication for each option. "
"Without context of recovery, what is ""defaulter""?","A ""defaulter"" in this context refers to an individual who has failed to pay their tax arrears. Has not responded to a notice of demand for payment."
"Disregarding financial institutions, what is the page number for Corporate Income Tax section?",Corporate Income Tax: the service value will be considered as income from business for MNC and will be taxed at 27.5% or 30% on income from business after deducting allowable business expenditure. MNC can adjust withholding tax deduction at source with its corporate tax payable at year end. 
"Without linking to residence, what is the basis of taxation for corporations?","Income tax is levied on income not on capital receipts. Different tax rates are applicable for different types of assessee and classes of income. The distinction between capital and revenue receipts is difficult to determine., Residential status is not a factor in determining tax for corporations"
"Disregarding rebates, what is the rate for WASA and similar authorities?","Based on the provided context, the tax rates for WASA and similar authorities are:, For non, listed financial institutions: 40.0%, For merchant banks: 37.5%, For cigarette/tobacco manufacturers: 45.0%, For mobile operators (non, listed): 45.0% Note that these rates are applicable for the Assessment year 2023, 24."
What is the maximum repayment tenure for a home loan in Bangladesh?,"The maximum repayment tenure for a home loan in Bangladesh is not explicitly mentioned in the provided context. However, the context does provide information on the maximum loan limit for education loans, which is:, Maximum Tk.5.00 lac for studies in Bangladesh, Maximum Tk.20.00 lac for studies abroad There is no mention of a home loan limit or repayment tenure in the provided context."
In the fiscal year 2023-24 revenue collections from Value Added Tax (VAT) have been estimated at around what?,"The revenue collections from Value Added Tax (VAT) in the fiscal year 2023, 24 are estimated to be around Tk. 1,63,837 crore. Here's a breakdown of the estimated revenue collections:, Value Added Tax (VAT): Tk. 1,63,837 crore (38.10% of total tax), Income Tax: Tk. 1,53,260 crore (35.64%), Import & other duty: Not specified, Land revenue, non, judicial stamp, motor vehicles tax, registration fees, narcotics and liquor duty: Not specified"
What percentage rebate do non-listed companies get upon listing 20% capital through IPO?,"According to the provided context, non, listed companies that list at least 20% of their paid, up capital through IPO will receive a rebate of 10% in the year of listing."
What is the tax rate percentage for knit wear exporters with green certification?,"Based on the provided context, the tax rate percentage for knit wear exporters with green certification is:, 10% (for income up to Tk 2,000,000), 8% (for income between Tk 2,000,000 and Tk 10,000,000), 0.60% (for export goods except knit wear and local goods) Note that these rates are applicable to knit wear exporters with green certification, as mentioned in the context."
What is the total number of pages in the document named edu_loan_3?," The document ""edu_loan_3"" has 3 pages."
What is the application fee for registering a mutual fund?,"The application fee for registering a mutual fund is Tk. 500/, per year, which needs to be paid and a copy of the receipt attached with the ADR (Alternative Dispute Resolution) application."
What changes have been made to the corporate tax incentives for green industries in Bangladesh?,"Corporate tax incentives for green industries in Bangladesh:  The corporate tax holiday for agro based industries has been extended to ten years for industries engaged in.  Processing locally grown fruits and vegetables, producing milk and dairy products, Producing baby food entirely from locally grown agricultural products"
