question,response
"What is the short title of the rules made under section 185 of the Income Tax Ordinance, 1984?","The short title of the rules made under section 185 of the Income Tax Ordinance, 1984 is:, Income Tax Rules, 1984"
What is oreign Exchange Risk Mitigation?,"Foreign Exchange Risk Mitigation is a strategy used by companies to minimize the risk of exchange rate fluctuations affecting their financial transactions. Here are some methods of mitigating foreign exchange risk:, Invoicing in domestic currency: An exporter can invoice his foreign customer in his domestic currency, or an importer can arrange with his foreign supplier to be invoiced in his domestic currency."
What are the types of investment qualified for the tax rebate?,"The types of investment qualified for the tax rebate are:, e Life insurance, premium up to 10% of the face value, Contribution to Provident Fund, as per the Provident Fund Act, 1925, Self contribution and employer's contribution to a General Provident Fund (GPF), Employee's contribution to a benevolent fund or group insurance scheme"
What are the standard rate of the VAT ?,"The standard VAT rates mentioned in the context are:, 1% on turnover up to Taka 5,00,00,000, 0.5% on turnover Taka 2,50,00,000, 30% on interest income, 20% on dividend income, 15% on capital gain, 27.5% on avail (not fulfilled), 0.60% on alternative minimum tax on gross receipts"
What is VAT Assessment?,"VAT Assessment is the process of determining the value of goods and services for Value Added Tax (VAT) purposes. Here are the key aspects of VAT Assessment:, , Valuation, : Determining the value of goods and services for VAT purposes., , Preparation of value Declaration, : Preparing the value declaration form for major industries, manufacturers, commercial traders, and service renderers., , Use of Fair Market Price, : Using the fair market price for value determination."
Who are the Income Tax Authorities?,"The Income Tax Authorities in Bangladesh are:, The National Board of Revenue, Chief Commissioner of Taxes, Directors, General of Inspection (Taxes), Commissioner of Taxes (Appeals), Commissioner of Taxes (Large Taxpayer Unit), Director General (Training), Director General, Central Intelligence Cell, Commissioners of Taxes, Additional Commissioners of Taxes (Appeal/Inspecting), Joint Commissioners of Taxes (Appeal/Inspecting), Deputy Commissioners of Taxes, Tax Recovery Officers"
What does financial strategy concern in the strategic planning process?,"Financial strategy in the strategic planning process concerns the financial implications of the business strategy. Here are the key aspects:, The financial implications of the business strategy, How the business will achieve its objectives, The long, term direction of the business, The financial aspects of setting objectives and dealing with stakeholders In other words, financial strategy is concerned with the financial aspects of the business strategy, which is part of the overall strategic planning process."
What is income tax return ?,"Income tax return is a mandatory submission of financial information to the income tax authority. The return must include:, Declaration and authentication, Production of accounts and documents, Statement of assets and liabilities, Income statement, Statement of individual regarding particulars of lifestyle, Information about income from different heads and net tax liability The return is essential for assessing tax liability and disclosing relevant information to the income tax authority."
"Under rule 8(4), what auxiliary register must be maintained if a separate nursing or maternity home is maintained by a medical practitioner?","Under Rule 8(4), a medical practitioner who maintains a separate nursing or maternity home must maintain an auxiliary register showing the following particulars:, Name and address of the patient, Nature of the treatment, Room (diet and/or lodging) charges, Other fees charged from the patient, if any This auxiliary register must be maintained in the remarks column of the Case Register in Form A(2)."
What is the minimum salary required for a personal loan in Bangladesh?,"Based on the provided context, there is no specific minimum salary required for a personal loan in Bangladesh. However, the context provides information on the tax rates and exemptions for different types of individuals and their income. Here are some general observations:, The tax rates range from 7.5% to 25% for different income brackets., There is an initial exemption limit for certain individuals, such as women, senior citizens, and physically challenged persons."
"What does the manual state about the inter-relationships between financial decisions, using a retailing company as an example?","According to the manual, the inter, relationships between financial decisions can be seen in the following example:, A retailing company makes a strategic decision to widen its markets, which requires new assets (e.g. new stores)., The new assets trigger a demand for capital, leading to a new, issue of debt., The ongoing implementation of the strategy causes a need for financing decisions, such as managing cash flow and risk."
Is online banking safe in Bangladesh?,"Based on the provided context, online banking in Bangladesh is not entirely safe due to the following reasons:, Cheque related frauds are the most commonly experienced fraud incidences in Bangladesh, and online banking may be vulnerable to similar types of fraud., Banks are identified as the most vulnerable sector of Money Laundering and Terrorist Financing (ML&TF) in Bangladesh, which increases the risk of financial crimes."
What types of investment qualified for the tax rebate?,"Based on the provided context, the types of investment qualified for the tax rebate are:, e Life insurance, premium up to 10% of the face value, Contribution to Provident Fund, as per the Provident Fund Act, 1925, Self, contribution and employer's contribution to a Registered Pension Fund (RPF)"
What is the threshold amount for maintaining a bank account under rule 8A?,"The threshold amount for maintaining a bank account under rule 8A is:, Taka 25,000/, (twenty five thousand) per month This is the amount above which a person having ownership or possession of a house property must maintain a bank account to deposit rent and any advance received."
Do car owners pay annual taxes in Bangladesh?,"Yes, car owners in Bangladesh pay annual taxes. Here are the details:, Motor vehicles tax is a type of non, NBR tax., It is one of the nomenclatures of non, NBR tax, which is not subject to withholding tax in Bangladesh., The entity does not have a payroll structure ratio, but this information is not relevant to the question of car owners paying annual taxes. In summary, car owners in Bangladesh pay motor vehicles tax as part of their annual tax obligations."
What is an example of how financing decisions can impact a firm's existence?,"A firm that heavily borrows money may face financial difficulties if its cash flows fall to a level insufficient to make interest payments on debt. This can lead to bankruptcy., High debt levels can put a firm at risk of financial distress., Insufficient cash flows can make it difficult for a firm to meet its debt obligations., This can ultimately impact a firm's existence."
Which Bangladeshi city hosts the Dhaka Stock Exchange (DSE)?,"The Dhaka Stock Exchange (DSE) is hosted in Dhaka, Bangladesh. Here are the main sources of finance for companies in Bangladesh:, Equity (ordinary share, capital), Preference shares, Loan stocks or debentures Additionally, companies in Bangladesh can access funds through:, National stock markets, including: ‣ Dhaka Stock Exchange (DSE) ‣ Chittagong Stock Exchange"
Are mutual funds available in the Dhaka Stock Exchange?,"Yes, mutual funds are available in the Dhaka Stock Exchange., The Dhaka Stock Exchange (DSE) is a primary source of new funds, including through new, share issuances., There is no specific mention of mutual funds in the provided context, but it can be inferred that they are available as part of the DSE's offerings. Note: The provided context does not explicitly mention mutual funds, but it does mention other investment options such as insurance companies and pension funds, which may include mutual fund, like investments."
"What does the term ""Money Market Instrument"" include according to the definitions?","According to the context, a Money Market Instrument includes:, Commercial paper, Asset, backed securities, Money market instruments, Other similar instruments traded in the financial markets."
Who is the General Manager of the Editorial Committee for the fifth edition of the guidelines?,"The General Manager of the Editorial Committee for the fifth edition of the guidelines is:, Md. Nur, un, Nabi"
